,260226_Hpos_000_AnalyticalBlnk.mzML,260226_Hpos_001_AnalyticalBlnk.mzML,260226_Hpos_002_AnalyticalBlnk.mzML,260226_Hpos_005_MethodBlnk.mzML,260226_Hpos_006_MethodBlnk.mzML,260226_Hpos_007_QC_cond.mzML,260226_Hpos_008_QC_cond.mzML,260226_Hpos_009_QC_cond.mzML,260226_Hpos_010_QC_cond.mzML,260226_Hpos_017_QC.mzML,260226_Hpos_018_spelt_t8_A.mzML,260226_Hpos_019_buckwheat_t1_C.mzML,260226_Hpos_020_wheat_t8_H.mzML,260226_Hpos_021_spelt_t1_D.mzML,260226_Hpos_022_buckwheat_t1_E.mzML,260226_Hpos_023_wheat_t1_G.mzML,260226_Hpos_024_dinkel_t8_C.mzML,260226_Hpos_025_wheat_t1_A.mzML,260226_Hpos_026_wheat_t8_G.mzML,260226_Hpos_027_1_t0.mzML,260226_Hpos_028_buckwheat_t8_D.mzML,260226_Hpos_029_wheat_t1_H.mzML,260226_Hpos_030_wheat_t8_A.mzML,260226_Hpos_031_maize_t8_G.mzML,260226_Hpos_032_buckwheat_t1_F.mzML,260226_Hpos_033_buckwheat_t1_D.mzML,260226_Hpos_034_maize_t8_H.mzML,260226_Hpos_035_spelt_t8_D.mzML,260226_Hpos_036_maize_t1_G.mzML,260226_Hpos_037_wheat_t1_B.mzML,260226_Hpos_038_wheat_t8_B.mzML,260226_Hpos_039_maize_t8_E.mzML,260226_Hpos_040_spelt_t1_A.mzML,260226_Hpos_041_dinkel_t1_B.mzML,260226_Hpos_042_maize_t1_F.mzML,260226_Hpos_043_maize_t1_H.mzML,260226_Hpos_044_buckwheat_t8_E.mzML,260226_Hpos_045_dinkel_t8_B.mzML,260226_Hpos_046_buckwheat_t8_C.mzML,260226_Hpos_047_dinkel_t1_C.mzML,260226_Hpos_048_buckwheat_t8_F.mzML,260226_Hpos_049_maize_t8_F.mzML,260226_Hpos_050_maize_t1_E.mzML,260226_Hpos_051_QC.mzML,260226_Hpos_052_spelt_t1_A.mzML,260226_Hpos_053_1_t0.mzML,260226_Hpos_054_buckwheat_t1_F.mzML,260226_Hpos_055_dinkel_t1_B.mzML,260226_Hpos_056_wheat_t1_H.mzML,260226_Hpos_057_buckwheat_t1_C.mzML,260226_Hpos_058_maize_t1_E.mzML,260226_Hpos_059_wheat_t1_A.mzML,260226_Hpos_060_wheat_t1_G.mzML,260226_Hpos_061_maize_t8_E.mzML,260226_Hpos_062_buckwheat_t1_E.mzML,260226_Hpos_063_dinkel_t8_C.mzML,260226_Hpos_064_dinkel_t8_B.mzML,260226_Hpos_065_maize_t8_H.mzML,260226_Hpos_066_maize_t8_G.mzML,260226_Hpos_067_maize_t1_G.mzML,260226_Hpos_068_maize_t8_F.mzML,260226_Hpos_069_dinkel_t1_C.mzML,260226_Hpos_070_buckwheat_t8_C.mzML,260226_Hpos_071_spelt_t8_A.mzML,260226_Hpos_072_maize_t1_F.mzML,260226_Hpos_073_buckwheat_t8_D.mzML,260226_Hpos_074_buckwheat_t8_E.mzML,260226_Hpos_075_spelt_t8_D.mzML,260226_Hpos_076_spelt_t1_D.mzML,260226_Hpos_077_wheat_t8_H.mzML,260226_Hpos_078_buckwheat_t1_D.mzML,260226_Hpos_079_wheat_t1_B.mzML,260226_Hpos_080_wheat_t8_G.mzML,260226_Hpos_081_wheat_t8_B.mzML,260226_Hpos_082_wheat_t8_A.mzML,260226_Hpos_083_maize_t1_H.mzML,260226_Hpos_084_buckwheat_t8_F.mzML,260226_Hpos_085_QC.mzML,260226_Hpos_086_spelt_t8_A.mzML,260226_Hpos_087_dinkel_t8_C.mzML,260226_Hpos_088_wheat_t8_A.mzML,260226_Hpos_089_maize_t8_E.mzML,260226_Hpos_090_spelt_t1_D.mzML,260226_Hpos_091_buckwheat_t8_F.mzML,260226_Hpos_092_dinkel_t1_B.mzML,260226_Hpos_093_maize_t1_G.mzML,260226_Hpos_094_wheat_t1_B.mzML,260226_Hpos_095_1_t0.mzML,260226_Hpos_096_buckwheat_t8_C.mzML,260226_Hpos_097_buckwheat_t1_C.mzML,260226_Hpos_098_maize_t1_H.mzML,260226_Hpos_099_spelt_t1_A.mzML,260226_Hpos_100_buckwheat_t8_E.mzML,260226_Hpos_101_buckwheat_t8_D.mzML,260226_Hpos_102_wheat_t8_G.mzML,260226_Hpos_103_dinkel_t1_C.mzML,260226_Hpos_104_buckwheat_t1_E.mzML,260226_Hpos_105_dinkel_t8_B.mzML,260226_Hpos_106_buckwheat_t1_D.mzML,260226_Hpos_107_spelt_t8_D.mzML,260226_Hpos_108_maize_t1_E.mzML,260226_Hpos_109_wheat_t8_H.mzML,260226_Hpos_110_maize_t8_F.mzML,260226_Hpos_111_maize_t1_F.mzML,260226_Hpos_112_wheat_t1_H.mzML,260226_Hpos_113_wheat_t1_G.mzML,260226_Hpos_114_maize_t8_G.mzML,260226_Hpos_115_wheat_t8_B.mzML,260226_Hpos_116_maize_t8_H.mzML,260226_Hpos_117_buckwheat_t1_F.mzML,260226_Hpos_118_wheat_t1_A.mzML,260226_Hpos_119_QC.mzML,InchiKey
1 | 494.8120mz | 0.14min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.26,,,,,,,,,,,,,,,,,,,,,47.92,,,,3537,18750,,1447,2873,1374,142.5,,,,,8433,,,,,,,,60.61,1116,,,,,,
2 | 150.0915mz | 0.08min,45.84,9040,6546,15910,3866,13860,8708,2586,13910,7073,4652,3535,6630,18870,5540,6976,6685,8808,4346,11030,4002,2594,5419,14030,3305,10750,14610,4987,4040,3400,19360,12700,6901,16980,7655,21400,5445,14950,7418,5052,3318,7372,4053,13750,12340,10670,5837,7197,8926,9757,20050,17740,5036,7986,1345,17760,8173,6857,13530,12310,4601,6952,3786,2315,12930,8906,7555,9083,6754,2121,6693,11480,7461,4192,7328,8140,10130,6990,4777,10500,7923,17570,16040,6136,8571,12440,4460,9539,11470,7055,5181,17270,7625,5730,9336,11530,1377,3117,5545,15270,5842,10900,2137,5465,12960,10180,5169,4946,3758,10590,7753,3242,
3 | 1-(2-Phenylethyl)urea | [M + H]+,2100,37800,18550,40000,3784,26180,16350,39940,16320,37960,39180,38490,37100,38850,24980,35300,37720,36370,12950,5305,25930,36270,8387,35880,31410,32170,34370,35900,36240,31850,15650,36880,17830,28980,20910,43730,18930,26840,34840,30230,13640,34700,35200,21580,34810,36580,12680,15330,25120,32970,11370,15070,27090,34350,34030,22410,30520,15450,34030,35360,33850,33270,33790,20770,33450,32950,33990,33100,33230,16200,33400,31570,35360,27840,33160,33690,33340,31840,9326,31860,31320,34070,33080,26070,27420,9537,31810,32330,26280,6319,22430,32170,32310,32440,7155,31990,32570,30910,11670,28800,10940,17280,30210,5438,31530,21720,33020,23360,29410,33800,29940,31360,ZMTSMVZAFDWQRM
6 | 537.5356mz | 0.34min,2078,12790,22960,1601,3107,1428,2461,1153,1586,6020,2758,5934,1171,4224,1468,18430,19070,5420,20150,19460,3296,2480,20470,950.2,478.4,19660,1359,947.6,9900,4766,20100,2836,444.6,21110,21680,22220,1560,1292,3525,2402,19920,1494,12880,1550,7812,22220,21680,19660,19740,20800,1030,2406,20150,1304,645.7,18440,11250,1061,3312,809.5,4892,1256,2714,2327,6247,2632,6707,2850,7295,1570,2373,1699,19140,2921,2374,2407,1486,17170,4157,3077,11250,1157,8562,1355,12740,1972,6474,661.5,3448,4928,5734,944.8,1419,1803,2742,5492,1908,2968,8473,2719,979.2,825.4,4969,5702,3002,6256,3476,1341,1431,5745,603,3280,
"7 | 4-(3,4-Xylyl)-3-thiosemicarbazide | [M + H]+",169300,154200,78150,68800,71070,69930,69160,67260,68070,69620,70500,76410,65880,85600,81850,19820,63150,79890,68490,90080,66650,58450,43940,63380,73640,64510,14810,66140,18490,61190,13150,59580,67240,79950,87710,87810,62170,63800,60910,62730,71620,7371,68400,22190,42730,66850,89920,64110,50080,35290,54950,59890,14830,60130,51450,55850,59840,62100,61320,16870,63330,66130,61000,67650,44620,62050,59200,62140,54840,15280,18730,43630,63040,70340,62590,47520,61520,63540,66350,62520,64060,1357,17550,66520,18350,27270,13000,35170,62490,65090,16770,15060,62450,62210,59350,65710,66530,60030,64320,61930,18220,62590,62450,14820,30260,21350,58900,71450,64790,63750,16270,63840,SQBHNOLKPPEJFA
9 | 414.1947mz | 0.37min,,,,,,501.3,559.3,568.8,572.1,540.8,,,,,,,,,,,2562,,,,,,,,516.9,,,,,,,,2114,,2511,52.41,3010,,,451.5,,,340.9,,,267.2,,,,,248.1,,,,,408.1,,249.4,2278,,,2394,2227,,,,624.4,,,,,,2652,490.5,,,,,,2589,,347.1,,,2452,893.5,,,2178,2490,,231.9,682,,1003,,,,,,,,,,,916.2,,473.4,
10 | 432.2053mz | 0.35min,,,,,,455.8,423.7,398.8,348,399.5,,,,,,,,,,,1914,,,,,,,,,,,,,,,,1581,,1799,,2071,,,169.4,,,53.55,,,203.9,,,,,54.07,,,,,,,,1687,,,1714,1448,,,,281.4,,,,,,1788,268.3,,,,,,1794,,,,,1758,603.8,,,1532,1652,,50.63,504.5,,554,,,,,,,,,,,583.2,,290.5,
11 | 305.1022mz | 0.38min,,,,,,194.5,250.2,222.1,236.9,232.2,,393.4,,,653,,,,,,1250,,,,875.2,652.3,,,,,,,,,,,1669,,1302,158.4,1086,,,201.9,,,1361,,,803.9,,,,,1067,,,,,,,198.4,1448,,,1110,1712,,,,896.4,,,,,,1195,179,,,,,,1278,,,,,1074,623.6,,,1760,1225,,140.1,1263,,1040,,,,,,,,,,,1559,,186.7,
13 | 292.2849mz | 0.38min,,,,652.7,833.5,353.1,557,444.5,440,360.5,304.2,,485.4,,,,446.8,,1147,,387.3,,699.9,1249,116.2,,263.6,437.5,,,245.6,211,,,,,562.9,141.2,275.6,64.46,697,381.1,,274.9,60.08,,,,,,,,,262.8,,304.1,153.6,308.9,1155,,309,84.01,454.2,203,463.3,364.8,629.4,510.4,49.9,373.2,,226.1,1270,293.9,452.6,,741.5,352,251.7,248.2,647.7,252,204.2,971.2,172.3,,610.6,72.16,285.1,171.8,180.1,231.3,455.1,508.6,1559,142.6,184.9,196.2,212.7,528.6,161.1,422.8,276.6,785.6,102.4,,1011,229.9,240.2,391,256,415.2,
14 | 275.0917mz | 0.38min,,,,,,220,175.1,277,173.6,147.3,,213.5,,,71.22,,,,,,2007,,,,217,310.1,,,,,,,,,,,3445,,2372,53.28,1785,,,203.1,,,429.9,,,376.8,,,,,343.7,,,,,,,179,2311,,,2089,3007,,,,425.6,,,,,,1582,169.6,,,,,,1629,,,,,2156,412.1,,,3562,2428,,,415,,452.9,,,,,,,,,,,563.5,,202.9,
