KEGG ID,InChIKey,InChIKey14
C06147,,
C11382,BQOFWKZOCNGFEC-BDAKNGLRSA-N,BQOFWKZOCNGFEC
C09938,FDMKIGKOMRSCAW-NWDGAFQWSA-N,FDMKIGKOMRSCAW
C09324,SZDGAZFTAUFFQH-OALUTQOASA-N,SZDGAZFTAUFFQH
C11141,XGEAUXVPBXUBKN-NSOVKSMOSA-N,XGEAUXVPBXUBKN
C09352,NGZXDRGWBULKFA-NSOVKSMOSA-N,NGZXDRGWBULKFA
C09389,MPWZJVCAMFAIGV-ZDUSSCGKSA-N,MPWZJVCAMFAIGV
C11394,IECBDTGWSQNQID-UHFFFAOYSA-N,IECBDTGWSQNQID
C06304,CRPUJAZIXJMDBK-DTWKUNHWSA-N,CRPUJAZIXJMDBK
C10591,DXTYYNIKCKARPP-UXIGCNINSA-N,DXTYYNIKCKARPP
C10561,PEUUVVGQIVMSAW-RZTYQLBFSA-N,PEUUVVGQIVMSAW
C10616,QFUXQRHAJWXPGP-IIBDXVJDSA-N,QFUXQRHAJWXPGP
C09785,HMCYXRFNNOPPPR-AXTSPUMRSA-N,HMCYXRFNNOPPPR
C09804,OJGPEAXUHQRLNC-JZKKDOLYSA-N,OJGPEAXUHQRLNC
C11388,CDOSHBSSFJOMGT-JTQLQIEISA-N,CDOSHBSSFJOMGT
C09575,PKAFVNJHLLUZFP-CYBMUJFWSA-N,PKAFVNJHLLUZFP
C09589,DYAAXURJUVSJEZ-AWEZNQCLSA-N,DYAAXURJUVSJEZ
C11390,NFLGAXVYCFJBMK-DTWKUNHWSA-N,NFLGAXVYCFJBMK
C10159,CUBHREGSQFAWDJ-VIFPVBQESA-N,CUBHREGSQFAWDJ
C09790,DUQRVHURUWMFMN-CHHOWFRJSA-N,DUQRVHURUWMFMN
C02343,DLNKOYKMWOXYQA-VXNVDRBHSA-N,DLNKOYKMWOXYQA
C11360,MYKUKUCHPMASKF-SECBINFHSA-N,MYKUKUCHPMASKF
C09590,UUURWWVPMHAACP-KYJUHHDHSA-N,UUURWWVPMHAACP
C09159,MHVJRKBZMUDEEV-APQLOABGSA-N,MHVJRKBZMUDEEV
C05366,HGXBRUKMWQGOIE-AFHBHXEDSA-N,HGXBRUKMWQGOIE
C09885,YSTPAHQEHQSRJD-VIFPVBQESA-N,YSTPAHQEHQSRJD
C09611,WUYQEGNOQLRQAQ-CQSZACIVSA-N,WUYQEGNOQLRQAQ
C10167,KYBOBXNXZQTAKA-NXHRZFHOSA-N,KYBOBXNXZQTAKA
C10889,KOWMJRJXZMEZLD-HCIHMXRSSA-N,KOWMJRJXZMEZLD
C09654,WVTKBKWTSCPRNU-KYJUHHDHSA-N,WVTKBKWTSCPRNU
C09877,LFJQCDVYDGGFCH-JTQLQIEISA-N,LFJQCDVYDGGFCH
C03039,HPOHAUWWDDPHRS-ZJUUUORDSA-N,HPOHAUWWDDPHRS
C02484,JGVWYJDASSSGEK-SCZZXKLOSA-N,JGVWYJDASSSGEK
C11350,JZQOJFLIJNRDHK-SXDPYWSBSA-N,JZQOJFLIJNRDHK
C10418,JIJYZALGIIQXKE-UHFFFAOYSA-N,JIJYZALGIIQXKE
C09375,HRSIPKSSEVRSPG-VIFPVBQESA-N,HRSIPKSSEVRSPG
C10415,WNHXBLZBOWXNQO-UHFFFAOYSA-N,WNHXBLZBOWXNQO
C10198,OOCFJEXFOZXGCV-DLBZAZTESA-N,OOCFJEXFOZXGCV
C11357,MTXSIJUGVMTTMU-JTQLQIEISA-N,MTXSIJUGVMTTMU
C11358,JFMCQBGTUJUOAB-VXGBXAGGSA-N,JFMCQBGTUJUOAB
C09339,VZTUKBKUWSHDFM-CYBMUJFWSA-N,VZTUKBKUWSHDFM
C09340,QZGHIQMJUDEEIB-CQSZACIVSA-N,QZGHIQMJUDEEIB
C09036,LCVACABZTLIWCE-CRAFIKPXSA-N,LCVACABZTLIWCE
C10545,NQWVSMVXKMHKTF-JKSUJKDBSA-N,NQWVSMVXKMHKTF
C09341,QEOWCPFWLCIQSL-IRXDYDNUSA-N,QEOWCPFWLCIQSL
C09368,DUSFBAYEYGRYOT-CYBMUJFWSA-N,DUSFBAYEYGRYOT
C09133,HOYXPMHLHJOGHD-FNAHDJPLSA-N,HOYXPMHLHJOGHD
C11386,QMVPMAAFGQKVCJ-JTQLQIEISA-N,QMVPMAAFGQKVCJ
C06305,CRPUJAZIXJMDBK-BDAKNGLRSA-N,CRPUJAZIXJMDBK
C09727,PFTAWBLQPZVEMU-UKRRQHHQSA-N,PFTAWBLQPZVEMU
C11359,ADKXZIOQKHHDNQ-QMMMGPOBSA-N,ADKXZIOQKHHDNQ
C10152,CWMYODFAUAJKIV-HTQZYQBOSA-N,CWMYODFAUAJKIV
C11389,CDOSHBSSFJOMGT-SNVBAGLBSA-N,CDOSHBSSFJOMGT
C10502,HUKSJTUUSUGIDC-ZBEGNZNMSA-N,HUKSJTUUSUGIDC
C10503,NSRJSISNDPOJOP-BBRMVZONSA-N,NSRJSISNDPOJOP
C09870,XHXUANMFYXWVNG-ADEWGFFLSA-N,XHXUANMFYXWVNG
C10508,FPRVFTCYJRERLF-FZMZJTMJSA-N,FPRVFTCYJRERLF
C10777,YUKCLPPRYNXRAF-HNKURNSESA-N,YUKCLPPRYNXRAF
C09604,NKHMWHLJHODBEP-MRVPVSSYSA-N,NKHMWHLJHODBEP
C10514,YAHJJEDSBUXVRQ-KXBFYZLASA-N,YAHJJEDSBUXVRQ
C10515,UUJBHSNXZMGYBT-ZDUSSCGKSA-N,UUJBHSNXZMGYBT
C09235,FDNDLNFGITWTOZ-LJQANCHMSA-N,FDNDLNFGITWTOZ
C08257,DSCFFEYYQKSRSV-FIZWYUIZSA-N,DSCFFEYYQKSRSV
C09640,YTPRLBGPGZHUPD-ZETCQYMHSA-N,YTPRLBGPGZHUPD
C09642,IBRKLUSXDYATLG-LURJTMIESA-N,IBRKLUSXDYATLG
C10170,OHNNTQXKHRISJP-HLPCWDLKSA-N,OHNNTQXKHRISJP
C10526,TUXCLJQCYVCGDW-LBPRGKRZSA-N,TUXCLJQCYVCGDW
C10171,GOWRYACIDZSIHI-KBPBESRZSA-N,GOWRYACIDZSIHI
C10531,QXSOYBBYHNOUSH-SJCJKPOMSA-N,QXSOYBBYHNOUSH
C01869,YRCWQPVGYLYSOX-VIFPVBQESA-N,YRCWQPVGYLYSOX
C10620,YFEPHJVWLFGWKH-AWEZNQCLSA-N,YFEPHJVWLFGWKH
C10101,WEYVVCKOOFYHRW-GOSISDBHSA-N,WEYVVCKOOFYHRW
C10539,VVPGAJNPGZZNBM-SJORKVTESA-N,VVPGAJNPGZZNBM
C09621,RGZSQWQPBWRIAQ-CABCVRRESA-N,RGZSQWQPBWRIAQ
C09462,JZUTXVTYJDCMDU-RTBURBONSA-N,JZUTXVTYJDCMDU
